station_id,metro_trips,Motivo no Destino e Zona de Origem -  residencia ,empregos,Viagens Diárias Atraídas por Motivo e Zona de Destino –Refeição,emprego Creditícios Financeiro,Funcionário Público,Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino - residencia ,Viagens Diárias Atraídas por Motivo e Zona de Destino – Lazer,emprego servicos -  Administração Pública,Viagens Diárias Atraídas por Motivo e Zona de Destino –assuntos Pessoais,renda até 2.640
131,14457.05743736564,18761.57235293774,12920.981089777908,286.92806236543294,205.7016881127191,126.88938537478371,24577.925939089153,1400.3631913738427,288.9295033844015,2235.0559572393217,2847.2669760370904
132,31769.983493839347,62708.32310952113,41031.94591243296,1735.161743199403,1035.5796308025697,1012.4635593681481,15748.445147497088,2345.553414914411,1157.7103321858667,4960.372170918396,571.1620090142671
133,29615.31173346719,48192.520029414874,31374.501668765042,1779.2832304659646,1073.424244670641,459.35550173599654,14755.084427344224,3460.357730333578,624.8050443455817,4112.458021827851,1702.1599316021386
135,16096.482020359015,25221.429422745616,11688.844037156025,261.9982084312289,204.5100392662503,346.60465590931767,29647.322853764403,3904.5088162634706,841.3875308148254,1942.6630037475145,5683.2557187484745
136,17799.705139763322,23187.55632038386,9147.258393370204,255.03471198469302,194.29940715552624,363.77143381336964,36940.24608028375,2272.177977531175,716.4911906995594,1398.290809890702,7318.5256122127175
137,15939.336108859257,21351.113954601453,11745.827241954259,86.24296310659359,0.0,371.6104907056369,32979.075277780285,701.5288890999773,122.53894510702044,2988.4161687925116,13092.317997944287
138,12636.750424414076,15308.545810998747,6584.537409559924,61.44078599453876,76.56140184358173,172.57622511871472,21465.41962369909,925.686261503452,185.36687590351795,2086.23633530987,6308.674134750774
139,12563.285083946233,15023.320213489445,6546.662235038944,73.88714727569857,64.70340694524921,162.07999513244775,21762.532405967868,861.000601820988,207.18603817721612,2109.656730950558,6390.2629012867155
140,6741.909954770013,12297.535414349151,6301.50827377765,351.00937121344367,48.453255296447566,403.71242057640615,14029.67181783208,976.2664509616059,222.21825315212007,1283.0643421050672,3788.7782842811835
141,2915.16745418973,8652.67179707974,3513.146729767117,94.54490283243545,14.37207681730149,250.8620784852518,9582.380296856241,830.5759285510759,128.41251417333095,871.5434527606889,1672.4046708989365
142,1124.6366523079016,2783.7590783654623,1421.7962071023553,0.0,0.46924975020763765,81.26057065511841,4956.2290164666565,193.3435279708769,0.0,498.05959474083676,1967.0897178684438
143,1780.7911609240675,6391.926507672608,4533.430311804255,1.9048092351450292,25.487067383517264,71.6571180254746,10043.779590070193,103.60262508296502,0.4860094129715145,1099.7476947995726,5084.77649892502
144,3535.097207608648,14080.905402090217,7296.694243882428,150.28757199297758,23.710389402733753,181.5193427496656,8507.098559950697,831.6691235488659,28.642154737787916,917.5945209394031,2332.623970569804
145,3163.2674412752413,8384.147521637458,5006.279758691162,58.90765818114208,11.26398370919941,184.93935513639025,5270.151566633711,445.01689060928675,108.6259157592858,334.99314372734204,1825.2130602457962
146,27921.584360595625,35533.58453664984,24878.583808856318,340.3406269494136,784.9112353741403,1295.2176227638413,22683.52410852641,1979.201876964775,1850.8295405508595,3395.944621240533,556.6612837126902
147,21283.261641689158,31866.873489175752,21386.551967323852,436.6114964721487,689.6357861370569,677.3337531405948,18434.32567129333,2459.5305895596143,1014.9063009027417,2272.3953442411375,1028.918396709798
148,12102.914327020106,34088.96336307362,26105.256301646154,804.4321258342908,791.0492362016583,873.6689277363055,14691.451551100885,1335.2011481199247,329.3713606139954,2438.736122998662,1736.3941712866304
149,4073.4070028540937,17025.23539850912,12222.820342301064,244.54426484113492,296.75318094580587,342.75498323454565,18558.763036885022,1064.568613574365,126.00410613445995,2038.8923204862608,1356.1699599313483
150,6868.347900377273,27643.026117956222,19864.23371224285,882.879018779681,526.6497254314306,725.9438767101249,17249.951381891042,1171.8988171674332,899.3739843963104,2411.618428335658,853.6296639134827
151,9361.872612266692,45584.914327752515,29226.965915149307,1647.2168870138112,455.1810403542871,1724.8744234501858,17314.608496038356,2235.429024826014,2404.9202342679323,3666.8741062236722,1009.9856881604942
152,10775.374116674775,52067.6556102294,32634.72628106537,1927.1786504193208,460.1101978873526,2003.8174680586044,17047.39770531382,2627.385073958486,2812.7253955693936,4206.797923518034,473.04710650201514
153,6722.674145422385,27038.789908603092,13051.381904061349,578.8107186431678,276.39758380890055,1167.2049408606233,18634.545941378226,1719.271372394111,565.8892409571299,2262.344961753963,4364.161176815371
154,6720.502705584893,27304.326285191066,13165.542857653065,588.3575495350202,280.95645064834986,1182.2298001979511,18604.314958530435,1722.5494418284518,574.3439932323885,2282.6514444332574,4304.3363937682725
